"BehaviorSpace results (NetLogo 6.0.2)"
"codeN9b.nlogo"
"500xdata0"
"12/18/2017 11:42:17:533 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","vr","C","memory-limit","experiment","[step]","count turts"
"384","1","100","100","1","1999","21"
"386","1","100","100","1","1999","20"
"388","1","100","100","1","1999","17"
"387","1","100","100","1","1999","21"
"389","1","100","100","1","1999","16"
"393","1","100","100","1","1999","12"
"390","1","100","100","1","1999","17"
"392","1","100","100","1","1999","20"
"391","1","100","100","1","1999","23"
"395","1","100","100","1","1999","15"
"394","1","100","100","1","1999","17"
"396","1","100","100","1","1999","19"
"397","1","100","100","1","1999","21"
"398","1","100","100","1","1999","17"
"399","1","100","100","1","1999","22"
"400","1","100","100","1","1999","16"
"401","1","100","100","1","1999","20"
"402","1","100","100","1","1999","18"
"403","1","100","100","1","1999","19"
"404","1","100","100","1","1999","15"
"405","1","100","100","1","1999","14"
"406","1","100","100","1","1999","19"
"408","1","100","100","1","1999","19"
"407","1","100","100","1","1999","20"
"409","1","100","100","1","1999","11"
"410","1","100","100","1","1999","14"
"411","1","100","100","1","1999","15"
"413","1","100","100","1","1999","13"
"412","1","100","100","1","1999","13"
"414","1","100","100","1","1999","14"
"417","1","100","100","1","1999","13"
"415","1","100","100","1","1999","21"
"416","1","100","100","1","1999","20"
"419","1","100","100","1","1999","5"
"418","1","100","100","1","1999","18"
"421","1","100","100","1","1999","15"
"423","1","100","100","1","1999","7"
"420","1","100","100","1","1999","17"
"422","1","100","100","1","1999","21"
"424","1","100","100","1","1999","17"
"426","1","100","100","1","1999","13"
"425","1","100","100","1","1999","21"
"427","1","100","100","1","1999","16"
"429","1","100","100","1","1999","18"
"428","1","100","100","1","1999","21"
"430","1","100","100","1","1999","15"
"431","1","100","100","1","1999","16"
"434","1","100","100","1","1999","9"
"432","1","100","100","1","1999","18"
"433","1","100","100","1","1999","15"
"435","1","100","100","1","1999","17"
"436","1","100","100","1","1999","17"
"437","1","100","100","1","1999","18"
"438","1","100","100","1","1999","21"
"440","1","100","100","1","1999","17"
"439","1","100","100","1","1999","24"
"442","1","100","100","1","1999","17"
"441","1","100","100","1","1999","24"
"443","1","100","100","1","1999","17"
"444","1","100","100","1","1999","18"
"445","1","100","100","1","1999","17"
"446","1","100","100","1","1999","20"
"448","1","100","100","1","1999","16"
"447","1","100","100","1","1999","19"
"449","1","100","100","1","1999","18"
"450","1","100","100","1","1999","16"
"451","1","100","100","1","1999","17"
"452","1","100","100","1","1999","18"
"454","1","100","100","1","1999","14"
"453","1","100","100","1","1999","20"
"455","1","100","100","1","1999","14"
"456","1","100","100","1","1999","13"
"458","1","100","100","1","1999","9"
"457","1","100","100","1","1999","19"
"460","1","100","100","1","1999","14"
"459","1","100","100","1","1999","17"
"461","1","100","100","1","1999","21"
"462","1","100","100","1","1999","17"
"464","1","100","100","1","1999","19"
"463","1","100","100","1","1999","21"
"465","1","100","100","1","1999","16"
"466","1","100","100","1","1999","22"
"467","1","100","100","1","1999","18"
"468","1","100","100","1","1999","20"
"469","1","100","100","1","1999","14"
"470","1","100","100","1","1999","16"
"471","1","100","100","1","1999","14"
"473","1","100","100","1","1999","12"
"472","1","100","100","1","1999","23"
"474","1","100","100","1","1999","14"
"475","1","100","100","1","1999","17"
"476","1","100","100","1","1999","16"
"478","1","100","100","1","1999","8"
"477","1","100","100","1","1999","15"
"479","1","100","100","1","1999","19"
"482","1","100","100","1","1999","9"
"480","1","100","100","1","1999","20"
"481","1","100","100","1","1999","18"
"483","1","100","100","1","1999","15"
"484","1","100","100","1","1999","14"
"485","1","100","100","1","1999","16"
"486","1","100","100","1","1999","16"
"488","1","100","100","1","1999","15"
"489","1","100","100","1","1999","13"
"487","1","100","100","1","1999","21"
"490","1","100","100","1","1999","16"
"493","1","100","100","1","1999","16"
"491","1","100","100","1","1999","19"
"492","1","100","100","1","1999","18"
"494","1","100","100","1","1999","18"
"496","1","100","100","1","1999","14"
"497","1","100","100","1","1999","17"
"495","1","100","100","1","1999","17"
"498","1","100","100","1","1999","19"
"501","1","0","100","1","1999","11"
"502","1","0","100","1","1999","13"
"499","1","100","100","1","1999","20"
"500","1","100","100","1","1999","20"
"503","1","0","100","1","1999","13"
"504","1","0","100","1","1999","12"
"505","1","0","100","1","1999","9"
"506","1","0","100","1","1999","10"
"507","1","0","100","1","1999","12"
"508","1","0","100","1","1999","10"
"509","1","0","100","1","1999","11"
"510","1","0","100","1","1999","11"
"511","1","0","100","1","1999","11"
"512","1","0","100","1","1999","11"
"513","1","0","100","1","1999","11"
"514","1","0","100","1","1999","12"
"515","1","0","100","1","1999","10"
"516","1","0","100","1","1999","12"
"517","1","0","100","1","1999","11"
"518","1","0","100","1","1999","12"
"519","1","0","100","1","1999","11"
"520","1","0","100","1","1999","11"
"521","1","0","100","1","1999","12"
"522","1","0","100","1","1999","11"
"523","1","0","100","1","1999","13"
"524","1","0","100","1","1999","11"
"525","1","0","100","1","1999","12"
"526","1","0","100","1","1999","12"
"527","1","0","100","1","1999","12"
"528","1","0","100","1","1999","12"
"530","1","0","100","1","1999","11"
"529","1","0","100","1","1999","12"
"531","1","0","100","1","1999","10"
"532","1","0","100","1","1999","10"
"533","1","0","100","1","1999","11"
"534","1","0","100","1","1999","9"
"535","1","0","100","1","1999","10"
"536","1","0","100","1","1999","10"
"537","1","0","100","1","1999","11"
"538","1","0","100","1","1999","9"
"539","1","0","100","1","1999","13"
"540","1","0","100","1","1999","10"
"541","1","0","100","1","1999","11"
"542","1","0","100","1","1999","12"
"543","1","0","100","1","1999","11"
"544","1","0","100","1","1999","13"
"545","1","0","100","1","1999","12"
"546","1","0","100","1","1999","9"
"547","1","0","100","1","1999","12"
"548","1","0","100","1","1999","12"
"549","1","0","100","1","1999","12"
"550","1","0","100","1","1999","11"
"551","1","0","100","1","1999","12"
"552","1","0","100","1","1999","13"
"553","1","0","100","1","1999","12"
"554","1","0","100","1","1999","12"
"555","1","0","100","1","1999","12"
"556","1","0","100","1","1999","10"
"557","1","0","100","1","1999","10"
"558","1","0","100","1","1999","11"
"559","1","0","100","1","1999","9"
"560","1","0","100","1","1999","11"
"561","1","0","100","1","1999","12"
"562","1","0","100","1","1999","11"
"563","1","0","100","1","1999","12"
"564","1","0","100","1","1999","11"
"565","1","0","100","1","1999","10"
"566","1","0","100","1","1999","12"
"567","1","0","100","1","1999","11"
"569","1","0","100","1","1999","11"
"568","1","0","100","1","1999","11"
"570","1","0","100","1","1999","9"
"571","1","0","100","1","1999","12"
"572","1","0","100","1","1999","11"
"573","1","0","100","1","1999","12"
"574","1","0","100","1","1999","13"
"575","1","0","100","1","1999","12"
"577","1","0","100","1","1999","12"
"576","1","0","100","1","1999","13"
"578","1","0","100","1","1999","11"
"579","1","0","100","1","1999","11"
"580","1","0","100","1","1999","11"
"581","1","0","100","1","1999","13"
"582","1","0","100","1","1999","11"
"583","1","0","100","1","1999","12"
"584","1","0","100","1","1999","10"
"586","1","0","100","1","1999","11"
"585","1","0","100","1","1999","12"
"587","1","0","100","1","1999","12"
"588","1","0","100","1","1999","11"
"590","1","0","100","1","1999","11"
"589","1","0","100","1","1999","12"
"591","1","0","100","1","1999","10"
"592","1","0","100","1","1999","11"
"593","1","0","100","1","1999","11"
"594","1","0","100","1","1999","11"
"595","1","0","100","1","1999","11"
"596","1","0","100","1","1999","12"
"597","1","0","100","1","1999","12"
"598","1","0","100","1","1999","13"
"599","1","0","100","1","1999","11"
"600","1","0","100","1","1999","12"
"601","1","0","100","1","1999","11"
