"BehaviorSpace results (NetLogo 6.0.2)"
"codeN9b.nlogo"
"500xdata-Cs"
"12/17/2017 12:47:00:365 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","vr","C","memory-limit","experiment","[step]","count turts with [cooperative?]","count turts"
"222","2","10","100","1","1999","0","25"
"223","2","10","100","1","1999","1","23"
"224","2","10","100","1","1999","0","21"
"225","2","10","100","1","1999","0","21"
"226","2","10","100","1","1999","0","23"
"227","2","10","100","1","1999","0","25"
"228","2","10","100","1","1999","0","24"
"229","2","10","100","1","1999","0","21"
"230","2","10","100","1","1999","0","25"
"231","2","10","100","1","1999","0","22"
"232","2","10","100","1","1999","0","19"
"233","2","10","100","1","1999","0","24"
"234","2","10","100","1","1999","0","22"
"235","2","10","100","1","1999","0","23"
"237","2","10","100","1","1999","0","22"
"236","2","10","100","1","1999","0","23"
"238","2","10","100","1","1999","0","23"
"239","2","10","100","1","1999","0","20"
"240","2","10","100","1","1999","0","22"
"241","2","10","100","1","1999","0","23"
"242","2","10","100","1","1999","0","23"
"243","2","10","100","1","1999","0","24"
"244","2","10","100","1","1999","0","24"
"245","2","10","100","1","1999","0","20"
"246","2","10","100","1","1999","0","22"
"247","2","10","100","1","1999","0","21"
"249","2","10","100","1","1999","0","25"
"248","2","10","100","1","1999","0","23"
"250","2","10","100","1","1999","0","23"
"251","2","10","100","1","1999","0","23"
"253","2","10","100","1","1999","0","21"
"252","2","10","100","1","1999","2","25"
"254","2","10","100","1","1999","1","23"
"255","2","10","100","1","1999","0","23"
"257","2","10","100","1","1999","0","24"
"256","2","10","100","1","1999","0","25"
"258","2","10","100","1","1999","0","22"
"259","2","10","100","1","1999","0","22"
"260","2","10","100","1","1999","0","23"
"261","2","10","100","1","1999","0","20"
"262","2","10","100","1","1999","0","22"
"263","2","10","100","1","1999","0","22"
"265","2","10","100","1","1999","0","22"
"264","2","10","100","1","1999","0","23"
"266","2","10","100","1","1999","0","25"
"267","2","10","100","1","1999","0","22"
"268","2","10","100","1","1999","0","22"
"269","2","10","100","1","1999","0","25"
"270","2","10","100","1","1999","0","22"
"271","2","10","100","1","1999","0","22"
"272","2","10","100","1","1999","0","23"
"273","2","10","100","1","1999","0","23"
"274","2","10","100","1","1999","0","22"
"275","2","10","100","1","1999","0","24"
"277","2","10","100","1","1999","1","22"
"276","2","10","100","1","1999","0","23"
"278","2","10","100","1","1999","0","22"
"279","2","10","100","1","1999","0","24"
"280","2","10","100","1","1999","0","24"
"281","2","10","100","1","1999","0","24"
"282","2","10","100","1","1999","0","19"
"283","2","10","100","1","1999","0","23"
"284","2","10","100","1","1999","0","21"
"285","2","10","100","1","1999","0","21"
"286","2","10","100","1","1999","0","22"
"287","2","10","100","1","1999","0","22"
"289","2","10","100","1","1999","0","23"
"288","2","10","100","1","1999","1","23"
"290","2","10","100","1","1999","0","21"
"291","2","10","100","1","1999","1","24"
"292","2","10","100","1","1999","0","22"
"293","2","10","100","1","1999","0","24"
"294","2","10","100","1","1999","0","22"
"295","2","10","100","1","1999","0","25"
"296","2","10","100","1","1999","0","23"
"297","2","10","100","1","1999","0","21"
"298","2","10","100","1","1999","0","22"
"299","2","10","100","1","1999","0","21"
"301","2","10","100","1","1999","0","24"
"300","2","10","100","1","1999","0","25"
"302","2","10","100","1","1999","0","24"
"303","2","10","100","1","1999","0","21"
"304","2","10","100","1","1999","0","22"
"305","2","10","100","1","1999","1","25"
"306","2","10","100","1","1999","0","22"
"307","2","10","100","1","1999","0","24"
"308","2","10","100","1","1999","0","21"
"309","2","10","100","1","1999","0","24"
"310","2","10","100","1","1999","0","21"
"311","2","10","100","1","1999","0","25"
"312","2","10","100","1","1999","0","21"
"313","2","10","100","1","1999","0","22"
"314","2","10","100","1","1999","0","21"
"315","2","10","100","1","1999","0","22"
"317","2","10","100","1","1999","1","23"
"316","2","10","100","1","1999","0","22"
"318","2","10","100","1","1999","0","22"
"319","2","10","100","1","1999","1","24"
"321","2","10","100","1","1999","1","23"
"320","2","10","100","1","1999","1","26"
"322","2","10","100","1","1999","0","23"
"325","2","10","100","1","1999","0","20"
"324","2","10","100","1","1999","0","23"
"323","2","10","100","1","1999","0","25"
"326","2","10","100","1","1999","0","23"
"327","2","10","100","1","1999","0","21"
"328","2","10","100","1","1999","0","23"
"329","2","10","100","1","1999","0","22"
"330","2","10","100","1","1999","0","21"
"331","2","10","100","1","1999","0","22"
"333","2","10","100","1","1999","0","21"
"332","2","10","100","1","1999","0","20"
"334","2","10","100","1","1999","0","21"
"335","2","10","100","1","1999","0","23"
"337","2","10","100","1","1999","0","23"
"336","2","10","100","1","1999","0","24"
"338","2","10","100","1","1999","1","23"
"339","2","10","100","1","1999","0","24"
"340","2","10","100","1","1999","0","22"
"341","2","10","100","1","1999","0","24"
"342","2","10","100","1","1999","0","23"
"343","2","10","100","1","1999","0","22"
"345","2","10","100","1","1999","0","21"
"344","2","10","100","1","1999","1","23"
"346","2","10","100","1","1999","0","22"
"347","2","10","100","1","1999","0","23"
"349","2","10","100","1","1999","0","23"
"348","2","10","100","1","1999","0","26"
"350","2","10","100","1","1999","0","21"
"351","2","10","100","1","1999","0","24"
"353","2","10","100","1","1999","0","22"
"352","2","10","100","1","1999","1","25"
"354","2","10","100","1","1999","2","24"
"355","2","10","100","1","1999","0","23"
"356","2","10","100","1","1999","0","22"
"357","2","10","100","1","1999","0","23"
"358","2","10","100","1","1999","0","24"
"359","2","10","100","1","1999","0","23"
"361","2","10","100","1","1999","0","23"
"360","2","10","100","1","1999","0","23"
"362","2","10","100","1","1999","0","22"
"363","2","10","100","1","1999","0","22"
"364","2","10","100","1","1999","1","24"
"365","2","10","100","1","1999","0","22"
"366","2","10","100","1","1999","0","21"
"367","2","10","100","1","1999","0","23"
"369","2","10","100","1","1999","1","21"
"368","2","10","100","1","1999","1","24"
"370","2","10","100","1","1999","0","21"
"371","2","10","100","1","1999","0","22"
"373","2","10","100","1","1999","0","21"
"372","2","10","100","1","1999","0","24"
"374","2","10","100","1","1999","0","23"
"375","2","10","100","1","1999","0","21"
"376","2","10","100","1","1999","0","23"
"377","2","10","100","1","1999","0","23"
"378","2","10","100","1","1999","0","24"
"379","2","10","100","1","1999","0","23"
"380","2","10","100","1","1999","0","24"
"381","2","10","100","1","1999","0","22"
"382","2","10","100","1","1999","0","25"
"383","2","10","100","1","1999","0","21"
"384","2","10","100","1","1999","0","25"
"385","2","10","100","1","1999","0","21"
"386","2","10","100","1","1999","0","23"
"387","2","10","100","1","1999","0","22"
"388","2","10","100","1","1999","0","23"
"389","2","10","100","1","1999","0","22"
"390","2","10","100","1","1999","0","23"
"391","2","10","100","1","1999","0","25"
"392","2","10","100","1","1999","0","20"
"393","2","10","100","1","1999","0","20"
"394","2","10","100","1","1999","0","19"
"395","2","10","100","1","1999","0","22"
"396","2","10","100","1","1999","0","24"
"397","2","10","100","1","1999","0","22"
"398","2","10","100","1","1999","0","23"
"399","2","10","100","1","1999","0","23"
"400","2","10","100","1","1999","0","22"
"401","2","10","100","1","1999","0","22"
"402","2","10","100","1","1999","0","21"
"403","2","10","100","1","1999","0","22"
